X,Y,se_sdo_rowid,se_anno_cad_data,bezirk,adresse,anzahl,art_kat
16.381000197334117,48.207547779196688,288837,,1,Stubenring ggü. 5,6,0
16.381247678748231,48.207583879715934,288838,,1,Stubenring 5,6,0
16.434187027610154,48.247890866193977,288839,,22,Attemsgasse 7,8,0
16.333491851982618,48.218974525715296,288840,,17,Rötzergasse 6,6,0
16.311224881162445,48.198871963396357,288841,,17,Gurkgasse 52,6,0
16.424261373797531,48.236444474086902,288842,,22,Wagramer Straße 27,12,0
16.400304862349003,48.221034109490375,288843,,2,Max-Winter-Platz ggü. 9,6,0
16.388770697163601,48.220510999315223,288844,,2,Holzhausergasse 1,14,0
16.368891927927699,48.204263923667497,288845,,1,Albertinaplatz ggü. 3,10,0
16.314815397378126,48.190161285899677,288846,,14,Penzinger Straße ggü. 2,6,0
16.368563849957752,48.205191654703349,288847,,1,Führichgasse 12,6,0
16.349290382238205,48.206916982205463,288848,,8,Strozzigasse 6-8,6,0
16.351364747901055,48.227253171164499,288849,,9,Lustkandlgasse 26-28,16,0
16.377950064944386,48.238503079185321,288850,,20,Dresdner Straße 43,12,0
16.274559808158781,48.13790722254317,288851,,23,Breitenfurter Straße 401-413,8,0
16.381821556569349,48.21791331575578,288852,,2,Glockengasse 8,6,0
16.364724078327299,48.209196511540931,288853,,1,Minoritenplatz 8,24,0
16.368453679601487,48.205193295585815,288854,,1,Augustinerstraße - Führichgasse,6,0
16.37174402651447,48.215944910027275,288855,,1,Franz-Josefs-Kai 51,7,1
16.366339375437221,48.238078327191744,288856,,20,Adalbert-Stifter-Straße 19-21,6,0
16.368467967673084,48.20340291964532,288857,,1,Operngasse 1,12,0
16.340341273548535,48.208253520074955,288858,,8,Lerchenfelder Straße 156,10,0
16.421827384730769,48.169352056334567,288859,,11,"Simmeringer Hauptstraße 167, Kaiser-Ebersdorfer-Straße U3-Station",22,0
16.340904714352483,48.212077763959364,288860,,8,Florianigasse 75,4,0
16.381647680897224,48.187992004599316,288861,,3,Arsenalstraße ggü. 2,20,0
16.368323704013488,48.192427208518225,288862,,4,Mayerhofgasse 9,6,0
16.421209078200427,48.16875475340813,288863,,11,Simmeringer Hauptstraße 134,18,0
16.392588803683946,48.205389364336789,288864,,3,Salmgasse ggü. 5,6,0
16.333818881280205,48.184785565195511,288865,,15,Linke Wienzeile - Storchensteg,12,0
16.368250140322051,48.192806760238604,288866,,4,Schlüsselgasse 9,4,0
16.348689381957726,48.210874182157468,288867,,8,Lederergasse 11,6,0
16.46947396850355,48.235483554184398,288868,,22,Quadenstraße 11,6,0
16.395048070895541,48.20067678761697,288869,,3,Wassergasse 28,6,0
16.365587820579538,48.194141391486831,288870,,4,"Kleinschmidgasse 1, Rienößlgasse",8,0
16.373349868490848,48.194406979691067,288871,,4,Argentinierstraße 30A,54,0
16.35379297022472,48.227695995383669,288872,,9,Sobieskigasse 12,8,0
16.363178453863597,48.195061737637481,288873,,4,"Margaretenstraße 44, Freundgasse",4,0
16.475078361420501,48.222820301457482,288874,,22,Erzherzog-Karl-Straße U2,152,1
16.358194890572776,48.221761685654819,288875,,9,Pasteurgasse 4,10,0
16.366590528171834,48.199504113403577,288876,,4,Operngasse  20,6,0
16.368605008145437,48.186447636082583,288877,,4,"Kolschitzkygasse 23, Draschepark",8,0
16.377878931727079,48.191552957568319,288878,,4,Belvederegasse 11,6,0
16.365155354986893,48.193620597674965,288879,,4,Rienößlgasse 12,8,0
16.366725463751457,48.186023277655458,288880,,4,Blechturmgasse 16,14,0
16.374390781762663,48.192729270546359,288881,,4,Argentinierstraße 37,8,0
16.320958138398073,48.207732219156291,288882,,16,Brüßlgasse 16,6,0
16.375870871669125,48.196604647085344,288883,,4,Prinz-Eugen-Straße 7,6,0
